external_id,date,videos,view_count
UCnsQjCVzmEd-YvlQZbo6zCg,2010-12-1,3,3.30E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2011-01-1,1,270000
UCnsQjCVzmEd-YvlQZbo6zCg,2011-03-1,1,290000
UCnsQjCVzmEd-YvlQZbo6zCg,2011-04-1,3,2.50E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2011-05-1,11,5.10E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2011-06-1,10,1.40E+08
UCnsQjCVzmEd-YvlQZbo6zCg,2011-07-1,24,6.70E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2011-08-1,37,1.50E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2011-09-1,17,5100000
UCnsQjCVzmEd-YvlQZbo6zCg,2011-10-1,1,3.00E+05
UCnsQjCVzmEd-YvlQZbo6zCg,2011-11-1,6,2900000
UCnsQjCVzmEd-YvlQZbo6zCg,2011-12-1,1,340000
UCnsQjCVzmEd-YvlQZbo6zCg,2012-01-1,2,380000
UCnsQjCVzmEd-YvlQZbo6zCg,2012-05-1,24,3300000
UCnsQjCVzmEd-YvlQZbo6zCg,2012-06-1,4,7100000
UCnsQjCVzmEd-YvlQZbo6zCg,2012-07-1,16,7.20E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2012-08-1,6,7.00E+06
UCnsQjCVzmEd-YvlQZbo6zCg,2012-12-1,1,930000
UCnsQjCVzmEd-YvlQZbo6zCg,2013-01-1,1,360000
UCnsQjCVzmEd-YvlQZbo6zCg,2013-03-1,1,130000
UCnsQjCVzmEd-YvlQZbo6zCg,2013-05-1,2,2.20E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2013-06-1,7,9400000
UCnsQjCVzmEd-YvlQZbo6zCg,2013-07-1,9,4.90E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2013-08-1,13,2.70E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2013-09-1,1,530000
UCnsQjCVzmEd-YvlQZbo6zCg,2013-11-1,11,2.90E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2013-12-1,7,4600000
UCnsQjCVzmEd-YvlQZbo6zCg,2014-01-1,6,2700000
UCnsQjCVzmEd-YvlQZbo6zCg,2014-02-1,4,1.00E+06
UCnsQjCVzmEd-YvlQZbo6zCg,2014-03-1,20,1.00E+08
UCnsQjCVzmEd-YvlQZbo6zCg,2014-04-1,1,2300000
UCnsQjCVzmEd-YvlQZbo6zCg,2014-05-1,3,2.10E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2014-06-1,9,8500000
UCnsQjCVzmEd-YvlQZbo6zCg,2014-10-1,1,2600000
UCnsQjCVzmEd-YvlQZbo6zCg,2014-11-1,4,850000
UCnsQjCVzmEd-YvlQZbo6zCg,2014-12-1,2,1900000
UCeZiul_hKxc-r0yEL27i1Xw,2008-08-1,1,28000
UCeZiul_hKxc-r0yEL27i1Xw,2011-03-1,24,270000
UCeZiul_hKxc-r0yEL27i1Xw,2011-04-1,1,2000
UCeZiul_hKxc-r0yEL27i1Xw,2011-05-1,3,520000
UCeZiul_hKxc-r0yEL27i1Xw,2011-07-1,1,520000
UCeZiul_hKxc-r0yEL27i1Xw,2011-08-1,2,1.00E+05
UCeZiul_hKxc-r0yEL27i1Xw,2011-09-1,2,79000
UCeZiul_hKxc-r0yEL27i1Xw,2011-10-1,2,33000
UCeZiul_hKxc-r0yEL27i1Xw,2012-02-1,10,1600000
UCeZiul_hKxc-r0yEL27i1Xw,2012-03-1,41,2400000
UCeZiul_hKxc-r0yEL27i1Xw,2012-04-1,21,3400000
UCeZiul_hKxc-r0yEL27i1Xw,2012-05-1,14,340000
UCeZiul_hKxc-r0yEL27i1Xw,2012-06-1,23,2500000
UCeZiul_hKxc-r0yEL27i1Xw,2012-07-1,18,720000
UCeZiul_hKxc-r0yEL27i1Xw,2012-08-1,13,210000
UCeZiul_hKxc-r0yEL27i1Xw,2012-09-1,35,350000
UCeZiul_hKxc-r0yEL27i1Xw,2012-10-1,41,1300000
UCeZiul_hKxc-r0yEL27i1Xw,2012-11-1,26,630000
UCeZiul_hKxc-r0yEL27i1Xw,2012-12-1,19,1800000
UCeZiul_hKxc-r0yEL27i1Xw,2013-01-1,9,94000
UCeZiul_hKxc-r0yEL27i1Xw,2013-02-1,15,650000
UCeZiul_hKxc-r0yEL27i1Xw,2013-03-1,20,3.00E+06
UCeZiul_hKxc-r0yEL27i1Xw,2013-04-1,18,770000
