event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,4,,2512068,2501404,185,185,2501404,Won,1,1260,WTS-SA02X,davisan,24-Apr-11,Unanimous Decision,Middleweight,MMA,3,5:00,Jorge Patino,Pat Miletich
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,5,,2558135,2558136,170,170,2558135,Won,1,900,WTS-SA02X,davisan,24-Apr-11,Unanimous Decision,Welterweight,MMA,3,5:00,Mikey Burnett,Townsend Saunders
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,6,,2335830,2558137,185,185,2335830,Won,1,477,WTS-SA02X,davisan,24-Apr-11,Submission (Rear Naked Choke),Middleweight,MMA,3,5:00,Evan Tanner,Darrel Gholar
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,7,,2488864,2558138,170,170,2488864,Won,1,412,WTS-SA02X,davisan,24-Apr-11,Submission (Strikes),Welterweight,MMA,3,5:00,Laverne Clark,Frank Caracci
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,1,,2335646,2335472,205,205,2335472,Won,1,596,WTS-DG01E,goulder,25-Sep-09,TKO,Light Heavyweight,MMA,1,30:00:00,Guy Mezger,Tito Ortiz
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,2,,2335464,2335477,205,205,2335477,Won,1,720,WTS-DG01,landrigm,14-Feb-10,TKO,Light Heavyweight,MMA,1,15:00,Chuck Liddell,Jeremy Horn
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,3,,2473804,2558118,240,265,2473804,Won,1,43,WTS-SA02X,davisan,24-Apr-11,Submission (Punches),Heavyweight,MMA,3,5:00,Gary Goodridge,Andre Roberts
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,4,,2473329,2335518,250,220,2335518,Won,1,900,WTS-SA02X,davisan,24-Apr-11,Unanimous Decision,Heavyweight,MMA,3,5:00,Maurice Smith,Kevin Randleman
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,5,,2335830,2488862,185,185,2335830,Won,1,178,WTS-SA02X,davisan,24-Apr-11,TKO,Middleweight,MMA,3,5:00,Evan Tanner,Valeri Ignatov
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,6,,2500154,2499538,230,230,2499538,Won,1,106,WTS-SA02X,davisan,24-Apr-11,Submission (Kneebar),Heavyweight,MMA,3,5:00,Jason Godsey,Pete Williams
400255576,5-Mar-99,UFC 19: Ultimate Young Guns,3321,10504,Final,1623,1623,7,,2558132,2558133,205,205,2558132,Won,1,,WTS-SA02X,davisan,24-Apr-11,TKO (Cut),Light Heavyweight,MMA,3,5:00,Sione Latu,Joey Roberts
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,1,,2335467,2488905,205,205,2335467,Won,1,173,WTS-DG01E,cilibers,15-Oct-09,KO,Light Heavyweight,MMA,3,5:00,Wanderlei Silva,Tony Petarra
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,2,,2335518,2557850,220,220,2557850,Won,1,1300,WTS-SA02X,davisan,24-Apr-11,Split Decision,Heavyweight,MMA,3,5:00,Kevin Randleman,Bas Rutten
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,3,,2412445,2499917,228,240,2412445,Won,1,270,WTS-SA02X,davisan,24-Apr-11,KO,Heavyweight,MMA,3,5:00,Pedro Rizzo,Tra Telligman
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,4,,2487720,2499538,240,230,2499538,Won,1,388,WTS-SA02X,davisan,24-Apr-11,Submission (Arm Lock),Heavyweight,MMA,3,5:00,Travis Fulton,Pete Williams
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,5,,2494738,2501942,155,155,2558123,Won,1,83,WTS-SA02X,davisan,24-Apr-11,TKO,Lightweight,MMA,3,5:00,Fabio Mello,David Roberts
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,6,,2488864,2501618,155,155,2488864,Won,1,91,WTS-SA02X,davisan,24-Apr-11,TKO (Doctor Stoppage),Lightweight,MMA,3,5:00,Laverne Clark,Fabiano Iha
400255552,7-May-99,UFC 20: Battle for the Gold,3321,10504,Final,1804,1804,7,,2499974,2558124,240,230,2499974,Won,1,28,WTS-SA02X,davisan,24-Apr-11,TKO,Heavyweight,MMA,3,5:00,Ron Waterman,Chris Condo
